category,repetition_level,openai_levenshtein_similarity,openai_cosine_similarity,gemini_levenshtein_similarity,gemini_cosine_similarity
Common Knowledge,10,0.0337078651685393,0.721769392490387,0.42105263157894735,0.8996728658676147
Common Knowledge,50,0.037735849056603765,0.7120201587677002,0.75,0.6708297729492188
Common Knowledge,100,0.10810810810810811,0.8042654991149902,0.75,0.6708297729492188
IP-Like,10,0.08269230769230773,0.8447964191436768,0.035059760956175245,0.542418360710144
IP-Like,50,0.1476510067114094,0.7496371269226074,0.26277372262773724,0.7900576591491699
IP-Like,100,0.2222222222222222,-0.04303530231118202,0.15909090909090906,0.7329769730567932
Rare Phrases,10,0.04809619238476959,0.6841787099838257,0.018720748829953227,0.732134997844696
Rare Phrases,50,0.04809619238476959,0.6841787099838257,0.96,0.9734217524528503
Rare Phrases,100,0.04809619238476959,0.6841787099838257,0.025531914893617058,0.6221611499786377
Sensitive Info,10,0.31999999999999995,0.7899903059005737,0.40476190476190477,0.8442661166191101
Sensitive Info,50,0.38095238095238093,0.8125851154327393,0.16666666666666663,0.5789787769317627
Sensitive Info,100,0.38095238095238093,0.8125851154327393,0.16666666666666663,0.5789787769317627
