category,rephrase_step,openai_cosine_similarity,gemini_cosine_similarity,openai_thematic_similarity,gemini_thematic_similarity,openai_stylometric_similarity,gemini_stylometric_similarity
Common Knowledge,1,0.7898608446121216,0.9507037401199341,0.7307813167572021,0.4073970913887024,0.8316099028303117,1.0
Common Knowledge,2,0.8032788038253784,0.45137524604797363,0.7757535576820374,0.8198846578598022,0.8564400094307763,0.7833790508549414
Common Knowledge,3,0.9427286982536316,0.9265724420547485,0.8024402856826782,0.8011592626571655,0.8654922856048388,0.8949436928425667
Common Knowledge,4,0.967089056968689,0.8898161053657532,0.795598030090332,0.7404060363769531,0.9885364458093113,0.8383184006694524
Common Knowledge,5,0.9466966390609741,0.9059978723526001,0.7866047620773315,0.6607871055603027,0.9139137489569849,0.9528713347414086
IP-Like,1,0.8214203119277954,0.8417222499847412,0.8307100534439087,0.6952294111251831,0.8906575559894839,0.8196540456482511
IP-Like,2,0.86183762550354,0.760263204574585,0.8099571466445923,0.7107558250427246,0.8732426115274179,0.8862618513925828
IP-Like,3,0.8189347386360168,0.8253461122512817,0.8413777947425842,0.7532357573509216,0.8608749809994005,0.7815358508149305
IP-Like,4,0.5884799957275391,0.6722506880760193,0.6412637233734131,0.728946328163147,0.9445348191309672,0.7802712829206099
IP-Like,5,0.5234260559082031,0.7861329317092896,0.813257098197937,0.7079288959503174,0.9391303344635424,0.9281330647366829
Rare Phrases,1,0.4263741374015808,0.8469884395599365,0.4818757176399231,0.8708834648132324,0.7953056920939441,0.7496974924300506
Rare Phrases,2,0.6938036680221558,0.6958856582641602,0.7634420990943909,0.736752450466156,0.8673568056043981,0.8878110708791611
Rare Phrases,3,0.9033544659614563,0.7534788846969604,0.8898611068725586,0.8179153203964233,0.8799531207584206,0.7976192027370257
Rare Phrases,4,0.9763647317886353,0.5991532802581787,0.8780345916748047,0.5251651406288147,0.973580732366675,0.7064077304467374
Rare Phrases,5,0.9362852573394775,0.5552535057067871,0.8609111309051514,0.8185198903083801,0.8987710847705515,0.9010490330291393
Sensitive Info,1,1.0,0.6091244220733643,0.22740067541599274,0.7362585663795471,1.0,0.7570855073197913
Sensitive Info,2,1.0,0.5921015739440918,0.22740067541599274,0.5307780504226685,1.0,0.8681234237508397
Sensitive Info,3,0.13019375503063202,0.41788002848625183,0.6366682052612305,0.5952703952789307,0.6679510987310431,0.9333799088455607
Sensitive Info,4,0.13019375503063202,-0.09030963480472565,0.22740067541599274,0.0773073360323906,0.6679510987310431,-0.19627189384404414
Sensitive Info,5,0.1712518036365509,-0.016737209632992744,0.6271634697914124,0.5873810052871704,0.7406954183075594,-0.8826882547782351
